#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  3.156     2.123      0.138     0.091      0.075       0.062      2.3419204  
  3.16      2.122      0.283     0.07       0.083       0.048      1.0        
  2.956     2.271      0.549     0.066      0.05        0.045      1.0        
  3.645     2.241      0.0020    0.093      0.091       0.062      1.1494253  
  3.438     2.096      -0.0070   0.068      0.096       0.046      3.0959752  
  3.542     2.349      0.088     0.087      0.046       0.059      1.0        
  3.173     2.263      0.259     0.085      0.082       0.057      1.0        
  3.061     2.171      0.338     0.085      0.073       0.057      1.0        
  3.315     2.263      0.266     0.085      0.068       0.057      1.0        
  3.834     2.367      -0.209    0.077      0.046       0.052      2.3866348  
  3.102     2.086      0.212     0.083      0.185       0.056      1.718213   
  3.122     2.225      0.223     0.082      0.07        0.055      1.4705882  
  2.941     2.067      0.316     0.048      0.037       0.032      1.4224751  
  3.42      2.287      -0.013    0.076      0.068       0.051      2.8490028  
  3.337     2.216      0.145     0.089      0.059       0.06       1.2004802  
  3.204     2.329      0.424     0.061      0.064       0.041      1.0        
  3.139     2.252      0.363     0.079      0.042       0.053      1.0        
  3.549     2.203      -0.063    0.085      0.113       0.058      2.3640661  
  3.041     2.278      0.395     0.076      0.043       0.052      1.0        
  3.381     2.203      0.145     0.081      0.038       0.055      1.0787487  
  3.01      2.232      0.434     0.074      0.059       0.05       1.0        
  3.086     2.095      0.064     0.088      0.103       0.06       4.878049   
  2.969     2.248      0.281     0.086      0.059       0.058      1.6474465  
  3.199     2.125      0.162     0.049      0.041       0.033      1.6420361  
  2.764     2.102      0.457     0.085      0.176       0.058      1.0131712  
  2.918     2.123      0.401     0.079      0.072       0.053      1.0        
  2.995     2.343      0.542     0.072      0.045       0.048      1.0        
  3.0       2.148      0.578     0.048      0.054       0.032      1.0        
  3.121     2.287      0.292     0.078      0.051       0.052      1.0        
  3.329     2.177      0.209     0.091      0.045       0.061      1.0        
  3.546     2.197      -0.16     0.087      0.045       0.059      4.6511626  
  3.086     2.185      0.306     0.069      0.06        0.046      1.0        
  3.233     2.217      0.188     0.067      0.033       0.046      1.2755102  
  3.052     2.213      0.396     0.068      0.075       0.046      1.0        
  3.485     2.375      0.121     0.081      0.03        0.055      1.0        
  2.785     2.113      0.637     0.065      0.073       0.044      1.0        
  2.891     2.131      0.614     0.048      0.059       0.032      1.0        
  3.271     2.268      0.256     0.081      0.041       0.055      1.0        
  3.289     2.337      0.243     0.083      0.042       0.056      1.0        
  3.244     2.346      0.377     0.064      0.033       0.043      1.0        
  3.355     2.341      0.135     0.091      0.052       0.062      1.242236   
  3.182     2.564      0.498     0.05       0.048       0.034      1.0        
  3.128     2.309      0.432     0.074      0.034       0.05       1.0        
  3.224     2.171      -0.0010   0.089      0.074       0.06       4.854369   
  3.062     2.224      0.169     0.094      0.063       0.063      2.5445292  
  3.288     2.412      0.377     0.066      0.032       0.045      1.0        
  2.892     2.156      0.587     0.06       0.062       0.041      1.0        
  3.396     2.322      0.181     0.072      0.028       0.049      1.0        
  3.235     2.247      0.263     0.075      0.062       0.051      1.0        
  3.101     2.068      0.266     0.074      0.072       0.05       1.2210013  
  3.389     2.241      0.101     0.082      0.044       0.055      1.3869625  
  3.321     2.165      0.037     0.092      0.075       0.062      2.624672   
  3.567     2.106      0.087     0.052      0.074       0.035      1.0834236  
  2.774     2.368      0.752     0.048      0.028       0.032      1.0        
  2.803     2.232      0.529     0.072      0.038       0.049      1.0        
  3.525     2.28       -0.0080   0.087      0.033       0.059      1.7574692  
  3.305     2.329      0.094     0.088      0.049       0.059      1.8518518  
  3.672     2.354      -0.019    0.079      0.054       0.054      1.1560694  
  3.143     2.37       0.258     0.089      0.052       0.06       1.0964912  
  3.546     2.238      -0.159    0.087      0.039       0.059      4.6296296  
  3.113     2.251      0.354     0.051      0.026       0.035      1.0        
  3.136     2.27       0.325     0.089      0.044       0.06       1.0        
  3.077     2.199      0.238     0.074      0.042       0.05       1.5243902  
  3.308     2.363      0.313     0.048      0.023       0.032      1.0        
  2.781     2.106      0.454     0.076      0.098       0.051      1.0        
  2.822     2.152      0.612     0.055      0.066       0.037      1.0        
  3.025     2.262      0.374     0.076      0.047       0.051      1.0        
  3.573     2.482      0.162     0.087      0.04        0.059      1.0        
  3.031     2.312      0.402     0.079      0.044       0.053      1.0        
  2.747     2.291      0.726     0.051      0.054       0.035      1.0        
  3.59      2.195      0.0030    0.078      0.07        0.052      1.3513514  
  3.004     2.252      0.39      0.07       0.049       0.048      1.0        
  2.908     2.185      0.455     0.083      0.071       0.056      1.0        
  3.108     2.179      0.278     0.078      0.095       0.052      1.0537407  
  3.147     2.323      0.064     0.094      0.062       0.064      3.9682539  
  2.952     2.49       0.619     0.048      0.037       0.032      1.0        
  3.26      2.332      0.154     0.088      0.059       0.059      1.4367816  
  3.219     2.357      0.312     0.076      0.032       0.052      1.0        
  2.914     2.088      0.566     0.065      0.122       0.044      1.0        
  3.343     2.204      0.107     0.083      0.049       0.056      1.5600625  
  3.082     2.314      0.353     0.074      0.049       0.05       1.0        
  3.197     2.402      0.355     0.068      0.052       0.046      1.0        
  2.644     2.202      0.52      0.081      0.091       0.054      1.0        
  3.276     2.315      0.065     0.095      0.076       0.064      2.4875622  
  2.929     2.154      0.424     0.087      0.083       0.059      1.0        
  3.379     2.36       0.219     0.073      0.043       0.049      1.0        
  3.13      2.142      0.137     0.086      0.055       0.058      2.5062656  
  2.918     2.085      0.267     0.076      0.064       0.051      2.1505377  
  2.914     2.34       0.42      0.087      0.046       0.059      1.0        
  2.866     2.137      0.484     0.078      0.113       0.052      1.0        
  3.262     2.231      0.333     0.055      0.043       0.037      1.0        
  2.941     2.233      0.38      0.088      0.052       0.059      1.0        
  3.423     2.284      0.146     0.078      0.055       0.053      1.0        
  2.713     2.27       0.697     0.067      0.074       0.045      1.0        
  2.958     2.097      0.39      0.058      0.071       0.039      1.0        
  3.06      2.282      0.401     0.059      0.036       0.04       1.0        
  3.066     2.306      0.379     0.065      0.032       0.044      1.0        
  3.108     2.175      0.387     0.081      0.084       0.054      1.0        
  3.073     2.143      0.388     0.048      0.062       0.032      1.0        
  3.265     2.299      0.306     0.063      0.032       0.043      1.0        
  3.664     2.198      -0.051    0.088      0.06        0.059      1.4792899  
  3.376     2.227      0.183     0.075      0.064       0.051      1.0        
  2.941     2.116      0.388     0.066      0.104       0.045      1.0        
  3.275     2.389      0.339     0.079      0.033       0.053      1.0        
  3.164     2.203      0.259     0.081      0.071       0.055      1.0319917  
  3.033     2.424      0.424     0.084      0.039       0.056      1.0        
  3.464     2.255      0.186     0.081      0.048       0.055      1.0        
  3.027     2.103      0.254     0.088      0.062       0.06       1.6474465  
  3.313     2.209      0.063     0.079      0.045       0.053      2.2522523  
  3.723     2.35       -0.042    0.084      0.056       0.057      1.2106538  
  3.528     2.354      0.074     0.093      0.064       0.063      1.0373445  
  3.324     2.399      0.23      0.073      0.026       0.05       1.0        
  3.016     2.318      0.574     0.049      0.022       0.033      1.0        
  2.452     2.366      0.923     0.051      0.056       0.034      1.0        
  2.815     2.253      0.752     0.048      0.038       0.032      1.0        
  3.353     2.204      -0.052    0.054      0.056       0.036      4.347826   
  3.17      2.451      0.306     0.09       0.047       0.061      1.0        
  3.127     2.217      0.233     0.094      0.067       0.063      1.3831259  
  3.654     2.304      -0.077    0.093      0.054       0.063      1.980198   
  3.228     2.086      0.342     0.068      0.103       0.046      1.0        
  2.783     2.123      0.668     0.056      0.103       0.038      1.0        
  3.358     2.368      0.185     0.069      0.038       0.047      1.0        
  2.957     2.375      0.62      0.048      0.024       0.032      1.0        
  2.975     2.246      0.24      0.096      0.092       0.065      2.3041475  
  2.985     2.2        0.304     0.084      0.074       0.057      1.3351134  
  3.073     2.187      0.405     0.071      0.063       0.048      1.0        
  2.928     2.278      0.41      0.092      0.056       0.062      1.0        
  3.021     2.185      0.301     0.095      0.095       0.064      1.2300123  
  2.774     2.328      0.738     0.06       0.031       0.04       1.0        
  3.678     2.313      -0.059    0.087      0.058       0.059      2.145923   
  3.486     2.374      0.172     0.073      0.035       0.049      1.0        
  2.897     2.228      0.39      0.088      0.068       0.06       1.0672358  
  2.763     2.097      0.507     0.061      0.053       0.041      1.0        
  3.063     2.288      0.526     0.056      0.051       0.038      1.0        
  3.177     2.304      0.265     0.073      0.052       0.049      1.0        
  3.435     2.326      0.313     0.048      0.014       0.032      1.0        
  3.155     2.098      0.127     0.095      0.077       0.064      2.4875622  
  2.735     2.382      0.59      0.084      0.055       0.057      1.0        
  2.673     2.294      0.64      0.074      0.052       0.05       1.0        
  3.184     2.308      0.22      0.084      0.051       0.057      1.2077295  
  3.165     2.314      0.218     0.086      0.039       0.058      1.317523   
  3.038     2.381      0.508     0.048      0.034       0.032      1.0        
  3.213     2.442      0.534     0.048      0.025       0.032      1.0        
  2.825     2.137      0.493     0.074      0.096       0.05       1.0        
  3.109     2.136      0.274     0.073      0.066       0.049      1.10011    
  2.901     2.1        0.43      0.091      0.124       0.061      1.0        
  2.989     2.144      0.319     0.084      0.128       0.057      1.201923   
  3.336     2.156      0.099     0.082      0.05        0.056      1.6583748  
  2.912     2.338      0.582     0.071      0.064       0.048      1.0        
  2.906     2.269      0.613     0.068      0.028       0.046      1.0        
  3.321     2.369      0.351     0.058      0.026       0.039      1.0        
  3.051     2.315      0.406     0.054      0.02        0.036      1.0        
  3.042     2.325      0.351     0.073      0.029       0.049      1.0        
  3.349     2.1        0.0010    0.09       0.061       0.061      3.1347961  
  3.195     2.369      0.485     0.06       0.022       0.041      1.0        
  3.311     2.253      0.206     0.09       0.074       0.061      1.0        
  3.208     2.162      0.176     0.083      0.068       0.056      1.4947683  
  2.94      2.121      0.27      0.088      0.067       0.06       2.016129   
  3.077     2.094      0.175     0.076      0.046       0.051      2.3419204  
  3.288     2.102      0.09      0.09       0.079       0.061      2.0661156  
  2.824     2.154      0.572     0.074      0.069       0.05       1.0        
  3.603     2.392      -0.094    0.095      0.067       0.064      3.125      
  3.29      2.393      0.502     0.048      0.015       0.032      1.0        
  2.914     2.353      0.459     0.068      0.029       0.046      1.0        
  2.978     2.28       0.626     0.048      0.017       0.032      1.0        
  2.89      2.219      0.435     0.086      0.04        0.058      1.0        
  3.655     2.184      -0.209    0.089      0.107       0.06       9.090909   
  3.121     2.406      0.459     0.068      0.025       0.046      1.0        
  2.988     2.104      0.305     0.085      0.153       0.058      1.3736264  
  3.195     2.385      0.453     0.056      0.041       0.038      1.0        
  2.96      2.298      0.459     0.07       0.046       0.047      1.0        
  3.027     2.396      0.364     0.075      0.059       0.051      1.0764263  
  3.076     2.301      0.286     0.081      0.034       0.054      1.1560694  
  3.347     2.236      0.073     0.092      0.065       0.062      1.9342359  
  3.464     2.364      0.139     0.073      0.034       0.05       1.0        
  3.087     2.249      0.324     0.079      0.036       0.054      1.0        
  3.414     2.301      0.128     0.082      0.037       0.055      1.025641   
  3.069     2.372      0.496     0.069      0.028       0.046      1.0        
  3.196     2.199      0.372     0.065      0.054       0.044      1.0        
  3.372     2.181      0.074     0.091      0.069       0.062      1.7761989  
  3.257     2.38       0.229     0.087      0.046       0.058      1.0        
  2.886     2.312      0.431     0.091      0.053       0.061      1.0        
  3.391     2.179      0.048     0.092      0.062       0.062      1.9531249  
  3.17      2.051      0.259     0.079      0.055       0.053      1.0        
  2.997     2.488      0.715     0.048      0.035       0.032      1.0        
  3.169     2.271      0.375     0.069      0.039       0.047      1.0        
  3.108     2.252      0.252     0.089      0.049       0.06       1.2820513  
  3.197     2.194      0.305     0.086      0.058       0.058      1.0        
  3.578     2.479      0.13      0.069      0.034       0.047      1.0        
  3.097     2.301      0.346     0.069      0.06        0.047      1.0        
  3.289     2.143      0.226     0.082      0.108       0.055      1.0        
  2.975     2.428      0.697     0.048      0.024       0.032      1.0        
  3.48      2.299      0.095     0.076      0.056       0.051      1.0799136  
  3.615     2.215      -0.0070   0.086      0.044       0.058      1.3513514  
  2.929     2.168      0.299     0.09       0.081       0.06       1.6891892  
  2.609     2.058      0.609     0.086      0.112       0.058      1.0        
  3.27      2.34       0.336     0.073      0.025       0.049      1.0        
  3.416     2.114      -0.028    0.093      0.076       0.063      3.0120482  
  2.896     2.24       0.413     0.093      0.053       0.063      1.0        
  3.091     2.27       0.412     0.063      0.043       0.042      1.0        
  2.898     2.112      0.373     0.078      0.073       0.053      1.1655012  
  2.995     2.347      0.51      0.048      0.019       0.032      1.0        
  3.033     2.184      0.449     0.048      0.037       0.032      1.0        
  2.593     2.174      0.727     0.057      0.048       0.039      1.0        
  3.41      2.216      0.029     0.048      0.021       0.032      2.0325203  
  2.879     2.244      0.359     0.072      0.072       0.048      1.312336   
  3.483     2.362      0.313     0.048      0.017       0.032      1.0        
  3.262     2.212      0.11      0.092      0.068       0.062      2.0120723  
  3.31      2.326      0.401     0.07       0.053       0.047      1.0        
  2.952     2.112      0.33      0.083      0.139       0.056      1.3003901  
  3.102     2.357      0.544     0.048      0.025       0.032      1.0        
  3.267     2.255      0.128     0.088      0.056       0.059      1.718213   
  3.038     2.198      0.254     0.085      0.062       0.057      1.607717   
  3.027     2.151      0.452     0.053      0.054       0.036      1.0        
  2.899     2.274      0.498     0.077      0.037       0.052      1.0        
  3.009     2.235      0.386     0.088      0.057       0.059      1.0        
  3.627     2.204      0.059     0.092      0.081       0.062      1.0        
  3.463     2.191      0.182     0.087      0.052       0.058      1.0        
  3.301     2.424      0.346     0.058      0.037       0.039      1.0        
  3.144     2.355      0.343     0.082      0.042       0.056      1.0        
  2.968     2.237      0.522     0.054      0.039       0.036      1.0        
  3.196     2.189      0.145     0.086      0.085       0.058      1.9157088  
  3.085     2.291      0.489     0.064      0.024       0.043      1.0        
  2.944     2.22       0.447     0.086      0.052       0.058      1.0        
  3.183     2.187      0.202     0.093      0.069       0.063      1.4409221  
  3.139     2.21       0.382     0.08       0.076       0.054      1.0        
  3.332     2.165      0.031     0.094      0.06        0.063      2.7027028  
  3.066     2.403      0.509     0.077      0.046       0.052      1.0        
  3.089     2.359      0.494     0.072      0.059       0.049      1.0        
  3.025     2.521      0.649     0.057      0.043       0.039      1.0        
  2.727     2.075      0.325     0.091      0.124       0.061      2.793296   
  3.521     2.18       0.0010    0.082      0.039       0.056      1.7123288  
  3.214     2.279      0.295     0.07       0.041       0.047      1.0        
  2.936     2.353      0.517     0.078      0.033       0.053      1.0        
  2.86      2.065      0.48      0.079      0.12        0.053      1.0        
  3.049     2.157      0.238     0.082      0.062       0.056      1.718213   
  2.856     2.218      0.465     0.088      0.061       0.059      1.0        
  2.686     2.234      0.173     0.093      0.129       0.063      12.048193  
  3.381     2.235      0.103     0.078      0.047       0.053      1.3850416  
  2.694     2.212      0.538     0.067      0.058       0.046      1.0        
  3.067     2.338      0.325     0.08       0.06        0.054      1.0        
  3.125     2.336      0.3       0.086      0.037       0.058      1.0        
  3.329     2.297      0.167     0.076      0.032       0.052      1.0799136  
  3.059     2.227      0.366     0.088      0.041       0.06       1.0        
  3.515     2.177      -0.022    0.089      0.052       0.06       2.053388   
  3.361     2.313      0.134     0.088      0.041       0.059      1.1918951  
  2.93      2.218      0.489     0.077      0.063       0.052      1.0        
  3.027     2.121      0.196     0.089      0.105       0.06       2.4509804  
  3.567     2.196      0.125     0.087      0.065       0.059      1.0        
  2.932     2.351      0.692     0.048      0.022       0.032      1.0        
  3.652     2.076      -0.037    0.081      0.087       0.055      2.020202   
  3.444     2.097      0.026     0.065      0.111       0.044      1.8656716  
  3.291     2.201      0.157     0.081      0.115       0.055      1.3280212  
  3.351     2.378      0.377     0.065      0.031       0.044      1.0        
  3.224     2.303      0.3       0.08       0.046       0.054      1.0        
  2.97      2.237      0.45      0.082      0.054       0.055      1.0        
  3.233     2.112      -0.039    0.062      0.065       0.042      6.0240965  
  3.342     2.348      0.367     0.068      0.03        0.046      1.0        
  3.195     2.326      0.452     0.048      0.034       0.032      1.0        
  3.045     2.183      0.361     0.086      0.05        0.058      1.0        
  2.792     2.243      0.44      0.091      0.102       0.062      1.0741138  
  3.203     2.194      0.223     0.086      0.11        0.058      2.1413276  
  2.941     2.175      0.445     0.068      0.063       0.046      1.0        
  2.869     2.209      0.476     0.07       0.094       0.047      1.0        
  3.066     2.223      0.259     0.064      0.071       0.043      2.857143   
  2.952     2.152      0.244     0.077      0.137       0.052      2.2675736  
  2.988     2.228      0.524     0.07       0.049       0.048      1.0        
  3.491     2.344      0.183     0.067      0.024       0.046      1.0        
  3.451     2.224      -0.148    0.088      0.072       0.06       5.952381   
  3.393     2.1        0.094     0.066      0.043       0.044      1.4245014  
  3.326     2.452      0.323     0.059      0.032       0.04       1.0        
  3.163     2.412      0.545     0.048      0.026       0.032      1.0        
  3.047     2.251      0.352     0.091      0.04        0.061      1.0        
  3.157     2.492      0.542     0.048      0.034       0.032      1.0        
  3.452     2.208      -0.06     0.078      0.05        0.053      3.267974   
  2.783     2.215      0.47      0.089      0.081       0.06       1.0        
  3.102     2.29       0.389     0.066      0.055       0.045      1.0        
  3.293     2.246      0.098     0.088      0.043       0.059      1.9607843  
  2.627     2.14       0.515     0.069      0.082       0.047      1.1198208  
  3.138     2.291      0.466     0.061      0.038       0.041      1.0        
  3.345     2.16       0.082     0.07       0.053       0.047      1.8181818  
  3.215     2.3        0.259     0.092      0.063       0.062      1.0        
  3.338     2.41       0.413     0.048      0.014       0.032      1.0        
  3.084     2.408      0.608     0.048      0.032       0.032      1.0        
  3.241     2.058      0.197     0.074      0.075       0.05       1.2135923  
  3.131     2.256      0.336     0.087      0.06        0.059      1.0        
  3.275     2.22       0.27      0.07       0.026       0.047      1.0        
  3.242     2.16       0.238     0.093      0.126       0.063      1.0        
  3.082     2.156      0.424     0.052      0.039       0.035      1.0        
  3.345     2.231      0.087     0.095      0.077       0.064      1.7421603  
  3.082     2.075      0.168     0.071      0.101       0.048      2.415459   
  3.347     2.166      0.235     0.052      0.055       0.035      1.0        
  3.132     2.336      0.44      0.058      0.021       0.039      1.0        
  3.454     2.324      0.219     0.048      0.025       0.032      1.0        
  3.266     2.334      0.301     0.084      0.04        0.057      1.0        
  3.174     2.196      0.387     0.072      0.079       0.049      1.0        
  2.808     2.144      0.52      0.067      0.081       0.045      1.0        
  3.086     2.083      0.303     0.095      0.077       0.064      1.0        
  2.966     2.155      0.431     0.085      0.049       0.058      1.0        
  3.349     2.17       0.167     0.093      0.108       0.063      1.048218   
  3.146     2.137      0.182     0.094      0.136       0.063      1.7921146  
  3.491     2.329      0.033     0.094      0.041       0.063      1.55521    
  3.252     2.376      0.277     0.086      0.058       0.058      1.0        
  3.248     2.384      0.284     0.078      0.039       0.053      1.0        
  3.105     2.335      0.272     0.087      0.055       0.059      1.1428572  
  3.093     2.394      0.456     0.05       0.026       0.034      1.0        
  2.574     2.192      0.782     0.07       0.077       0.047      1.0        
  3.485     2.354      0.119     0.067      0.025       0.045      1.0        
  3.361     2.101      -0.013    0.091      0.12        0.061      3.412969   
  3.322     2.221      0.037     0.087      0.107       0.059      2.7777777  
  2.894     2.079      0.507     0.056      0.077       0.038      1.0        
  3.256     2.311      0.224     0.079      0.043       0.053      1.0        
  2.799     2.238      0.379     0.093      0.078       0.063      1.5360982  
  3.356     2.271      0.234     0.086      0.04        0.058      1.0        
  3.287     2.369      0.37      0.058      0.06        0.039      1.0        
  2.805     2.339      0.699     0.063      0.038       0.043      1.0        
  3.364     2.221      0.118     0.08       0.035       0.054      1.331558   
  3.031     2.341      0.452     0.066      0.032       0.044      1.0        
  3.02      2.255      0.4       0.065      0.037       0.044      1.0        
  3.03      2.307      0.526     0.048      0.034       0.032      1.0        
  3.403     2.37       0.131     0.062      0.053       0.042      1.0548522  
  2.884     2.235      0.547     0.077      0.065       0.052      1.0        
  3.087     2.339      0.42      0.064      0.045       0.043      1.0        
  3.657     2.39       0.078     0.085      0.052       0.058      1.0        
  2.998     2.125      0.433     0.086      0.178       0.058      1.004016   
  3.019     2.202      0.391     0.075      0.053       0.051      1.0        
  2.964     2.123      0.301     0.09       0.08        0.061      1.6474465  
  3.284     2.295      0.388     0.057      0.101       0.039      1.0        
  3.066     2.27       0.348     0.083      0.055       0.056      1.0        
  3.37      2.252      0.069     0.091      0.053       0.061      1.8214935  
  3.019     2.247      0.176     0.094      0.054       0.064      2.9498527  
  3.448     2.231      0.031     0.088      0.062       0.06       1.8975332  
  3.183     2.101      0.238     0.081      0.105       0.055      1.0940919  
  3.312     2.229      0.289     0.083      0.109       0.056      1.0        
  3.092     2.432      0.641     0.054      0.041       0.037      1.0        
  3.428     2.307      0.106     0.06       0.067       0.041      1.3642565  
  3.626     2.16       -0.133    0.089      0.108       0.06       3.1545742  
  3.429     2.445      0.113     0.088      0.042       0.059      1.109878   
  3.385     2.217      0.114     0.075      0.051       0.051      1.345895   
  2.672     2.136      0.652     0.073      0.063       0.049      1.0        
  3.233     2.147      0.157     0.078      0.102       0.053      1.6750419  
  3.366     2.333      0.29      0.08       0.041       0.054      1.0        
  3.012     2.281      0.388     0.088      0.042       0.06       1.0        
  3.288     2.259      0.184     0.079      0.04        0.053      1.1025358  
  3.443     2.368      0.347     0.048      0.041       0.032      1.0        
  3.191     2.38       0.473     0.064      0.027       0.043      1.0        
  3.393     2.341      0.149     0.048      0.052       0.032      1.049318   
  3.04      2.44       0.659     0.055      0.041       0.037      1.0        
  3.215     2.087      0.268     0.081      0.086       0.055      1.0        
  3.015     2.242      0.39      0.074      0.044       0.05       1.0        
  3.232     2.421      0.455     0.068      0.03        0.046      1.0        
  3.298     2.409      0.294     0.064      0.041       0.043      1.0        
  2.982     2.354      0.592     0.058      0.04        0.039      1.0        
  3.361     2.271      0.07      0.087      0.074       0.059      2.5773196  
  3.358     2.172      0.069     0.088      0.119       0.06       1.9305019  
  3.406     2.181      0.055     0.064      0.042       0.043      1.7605634  
  3.231     2.336      0.331     0.076      0.054       0.052      1.0        
  3.163     2.255      0.297     0.073      0.043       0.049      1.0        
  3.267     2.308      0.27      0.064      0.041       0.043      1.0        
  3.141     2.402      0.578     0.048      0.022       0.032      1.0        
  3.018     2.317      0.381     0.08       0.049       0.054      1.0        
  2.976     2.224      0.333     0.078      0.071       0.053      1.1614401  
  3.3       2.306      0.198     0.093      0.046       0.063      1.0515248  
  2.849     2.315      0.622     0.054      0.044       0.036      1.0        
  3.212     2.139      0.089     0.094      0.12        0.063      2.7027028  
  3.117     2.266      0.247     0.086      0.116       0.058      1.3351134  
  3.073     2.369      0.453     0.064      0.027       0.044      1.0        
  3.334     2.287      0.168     0.09       0.064       0.061      1.0660981  
  3.344     2.179      0.079     0.086      0.039       0.058      1.8484288  
  3.421     2.375      0.209     0.048      0.03        0.032      1.0        
  2.907     2.215      0.518     0.054      0.063       0.036      1.0        
  3.407     2.133      0.203     0.077      0.076       0.052      1.0        
  3.032     2.074      0.244     0.059      0.069       0.04       2.1052632  
  3.347     2.356      0.259     0.048      0.04        0.032      1.0        
  3.167     2.301      0.392     0.061      0.029       0.041      1.0        
  2.981     2.241      0.516     0.057      0.057       0.039      1.0        
  3.103     2.367      0.454     0.048      0.043       0.032      1.0        
  3.355     2.363      0.186     0.087      0.098       0.058      1.2254902  
  3.226     2.348      0.423     0.048      0.035       0.032      1.0        
  2.587     2.18       0.355     0.081      0.078       0.054      3.846154   
  3.229     2.584      0.54      0.048      0.048       0.032      1.0        
  3.018     2.37       0.371     0.054      0.042       0.036      1.0        
  3.458     2.383      0.158     0.079      0.034       0.054      1.0        
  2.837     2.135      0.357     0.088      0.105       0.06       1.6366612  
  3.192     2.312      0.268     0.091      0.047       0.062      1.0        
  3.265     2.305      0.213     0.08       0.057       0.054      1.242236   
  3.274     2.515      0.274     0.086      0.058       0.058      1.0        
  3.433     2.417      0.281     0.068      0.045       0.046      1.0        
  3.245     2.242      0.242     0.08       0.094       0.054      1.0        
  3.542     2.36       0.072     0.075      0.045       0.051      1.0427529  
  3.428     2.09       0.117     0.077      0.09        0.052      1.1185682  
  2.385     2.225      0.937     0.048      0.046       0.032      1.0        
  3.204     2.262      0.17      0.084      0.069       0.057      1.6977929  
  2.831     2.425      0.642     0.054      0.056       0.036      1.0        
  3.245     2.14       0.209     0.076      0.059       0.051      1.1261262  
  3.112     2.419      0.561     0.062      0.041       0.042      1.0        
  3.175     2.363      0.369     0.048      0.029       0.032      1.0        
  3.248     2.183      0.253     0.073      0.054       0.049      1.0        
  2.824     2.494      0.803     0.051      0.045       0.035      1.0        
  3.285     2.207      0.289     0.085      0.089       0.058      1.0        
  3.303     2.261      0.304     0.048      0.022       0.032      1.0        
  3.485     2.072      -0.096    0.095      0.148       0.064      3.9682539  
  3.254     2.395      0.236     0.072      0.03        0.049      1.0        
  2.742     2.292      0.813     0.054      0.039       0.036      1.0        
  3.214     2.05       0.157     0.085      0.132       0.058      1.7636685  
  3.091     2.351      0.368     0.076      0.053       0.052      1.0        
  3.274     2.086      0.052     0.048      0.038       0.032      2.8169014  
  3.097     2.254      0.353     0.084      0.049       0.056      1.0        
  3.322     2.333      0.207     0.086      0.047       0.058      1.0        
  3.436     2.429      0.329     0.062      0.036       0.042      1.0        
  3.227     2.249      0.197     0.095      0.074       0.064      1.2853471  
  3.581     2.377      -0.05     0.092      0.063       0.062      2.1052632  
  3.497     2.354      0.117     0.068      0.075       0.046      1.0        
  2.954     2.155      0.45      0.076      0.097       0.051      1.0        
  3.322     2.428      0.259     0.077      0.033       0.052      1.0        
  2.98      2.219      0.288     0.082      0.055       0.056      1.610306   
  3.304     2.164      0.227     0.077      0.056       0.052      1.0        
  3.04      2.411      0.491     0.061      0.03        0.041      1.0        
  3.168     2.323      0.354     0.071      0.046       0.048      1.0        
  3.526     2.345      0.096     0.067      0.045       0.045      1.0        
  2.979     2.269      0.467     0.07       0.046       0.047      1.0        
  3.042     2.317      0.443     0.07       0.052       0.048      1.0        
  3.288     2.258      0.312     0.072      0.093       0.049      1.0        
  3.126     2.392      0.316     0.055      0.032       0.037      1.0        
  3.093     2.206      0.341     0.083      0.107       0.056      1.0        
  3.408     2.421      0.248     0.062      0.037       0.042      1.0        
  3.299     2.276      0.366     0.055      0.031       0.037      1.0        
  2.925     2.323      0.474     0.077      0.036       0.052      1.0        
  3.075     2.37       0.489     0.048      0.035       0.032      1.0        
  2.949     2.192      0.46      0.061      0.088       0.041      1.0        
  2.949     2.143      0.219     0.094      0.11        0.063      2.8985507  
  3.214     2.14       0.123     0.089      0.061       0.06       2.1321962  
  3.167     2.238      0.155     0.092      0.064       0.062      2.1881838  
  3.351     2.215      0.32      0.069      0.048       0.046      1.0        
  3.268     2.349      0.331     0.076      0.03        0.051      1.0        
  3.018     2.188      0.465     0.048      0.05        0.032      1.0        
  3.066     2.283      0.376     0.048      0.037       0.032      1.0        
  2.991     2.209      0.495     0.048      0.03        0.032      1.0        
  2.867     2.156      0.516     0.075      0.072       0.051      1.0        
  3.454     2.25       0.173     0.077      0.055       0.052      1.0        
  3.172     2.241      0.239     0.051      0.042       0.034      1.2135923  
  3.328     2.159      0.154     0.073      0.072       0.049      1.2106538  
  3.261     2.241      0.192     0.072      0.049       0.049      1.2547052  
  2.905     2.227      0.525     0.071      0.055       0.048      1.0        
  3.369     2.162      0.124     0.093      0.076       0.063      1.3003901  
  3.258     2.247      0.105     0.089      0.054       0.06       2.1598272  
  3.283     2.192      -0.16     0.092      0.091       0.062      12.658227  
  2.674     2.263      0.582     0.087      0.086       0.059      1.0        
  2.692     2.129      0.525     0.082      0.092       0.055      1.0        
  3.211     2.431      0.465     0.057      0.039       0.039      1.0        
  3.522     2.328      0.255     0.053      0.033       0.036      1.0        
  3.663     2.128      -0.17     0.055      0.051       0.037      3.5842292  
  3.205     2.156      0.257     0.079      0.11        0.053      1.0        
